BC,81.8,18.2
AB,83.7,16.3
SK,80.4,19.6
MB,84.1,15.9
ON,84.2,15.8
QC,83.4,16.6
NB,83.3,18.1
NS,84.5,15.5
NL,76.7,23.3
PE,87.5,12.5
