NL,55.8,44.2
PE,46.7,53.3
NS,46.1,53.9
NB,44,54.7
QC,53.3,46.7
ON,54,46
MB,51.1,48.9
SK,46.5,53.5
AB,55.9,43.9
BC,52.6,47.4
